,title,min salary,max salary,currency,emploer,link
109,Старший аналитик,-,-,USD,ООО ОРИМИ ТРЭЙД,https://spb.hh.ru/vacancy/48850784?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
110,Продуктовый аналитик,-,-,USD,GrowFood,https://spb.hh.ru/vacancy/42329774?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
111,Ведущий аналитик 1С,-,2117,USD,ПитерСофт,https://spb.hh.ru/vacancy/48380442?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
112,Ведущий аналитик отдела инвестиционного контроллинга,-,-,USD,"Лента, федеральная розничная сеть, Офис",https://spb.hh.ru/vacancy/48416564?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
113,Ведущий аналитик (логистика),1411,-,USD,ООО Корона Авто,https://spb.hh.ru/vacancy/48195062?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
114,Ведущий аналитик,1129,-,USD,ООО Агентство судебного взыскания,https://spb.hh.ru/vacancy/47712683?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
115,Ведущий аналитик,-,-,USD,"Максимум, Автомобильный холдинг",https://spb.hh.ru/vacancy/48293215?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
116,Ведущий аналитик 1С,1976,1976,USD,ПЕНОПЛЭКС,https://spb.hh.ru/vacancy/45447010?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
117,Ведущий аналитик,-,-,USD,"ПАО «Группа Черкизово», Центральный офис",https://spb.hh.ru/vacancy/48706888?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
118,Ведущий Аналитик 1С,2117,2822,USD,diHouse (ГК ЛАНИТ),https://spb.hh.ru/vacancy/48549083?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
119,Бизнес-аналитик удаленно,-,2117,USD,Илюмжинова Вера Викторовна,https://spb.hh.ru/vacancy/48553345?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
120,Ведущий бизнес-аналитик,957,1116,USD,АКМЭ сервис,https://spb.hh.ru/vacancy/48443707?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
121,Специалист по контекстной рекламе / Контестолог / Директолог,988,-,USD,ООО Строй-Сервис,https://spb.hh.ru/vacancy/49036714?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
122,Интернет-маркетолог (уровень Middle+/Senior),1129,1976,USD,Sound Dealer,https://spb.hh.ru/vacancy/48880800?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
123,Старший менеджер по подбору персонала,-,-,USD,Авито: продажи,https://spb.hh.ru/vacancy/49080833?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
124,Старший менеджер по работе с крупными корпоративными клиентами,-,-,USD,Сбер для экспертов,https://spb.hh.ru/vacancy/48254514?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
125,Senior IT recruiter (Gamedev),2117,-,USD,ООО Amaya Soft,https://spb.hh.ru/vacancy/48742866?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
126,Менеджер по продажам / Менеджер отдела продаж / ЛИДоруб,1129,2963,USD,ООО Строй-Сервис,https://spb.hh.ru/vacancy/46639966?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
127,Системный аналитик,2117,-,USD,ООО ЛК Сименс Финанс,https://spb.hh.ru/vacancy/48901138?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
128,Ведущий менеджер по подбору персонала,988,-,USD,Компания Кухонный завод,https://spb.hh.ru/vacancy/48251240?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
129,Менеджер отдела квалификации (обработка входящих заявок и назначение встреч),564,988,USD,INVO Group,https://spb.hh.ru/vacancy/48919796?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
130,Бизнес / системный аналитик,-,2540,USD,АРТ-БАНК,https://spb.hh.ru/vacancy/48470064?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
131,Ведущий аналитик BI,-,-,USD,СИГМА,https://spb.hh.ru/vacancy/48978442?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
